,artist,x,k,m,N,p-val,adj_pval(BH)
372,Sabine Delong,822,584765,1117,4313582,0.0,0.0
215,Mayola Cleary,1443,584765,2647,4313582,0.0,0.0
189,Ignacia Keen,1609,584765,3067,4313582,0.0,0.0
926,Traci Caudill,1038,584765,1241,4313582,0.0,0.0
1649,Dalton Wooten,113,584765,113,4313582,0.0,0.0
37,Eun Hull,1084,584765,1088,4313582,0.0,0.0
1873,Mireille Frazier,751,584765,1078,4313582,0.0,0.0
980,Voncile Simon,238,584765,238,4313582,0.0,0.0
995,Donn Cheney,619,584765,663,4313582,0.0,0.0
1860,Cherri Friedman,430,584765,432,4313582,0.0,0.0
1024,Sara Orozco,1908,584765,5361,4313582,0.0,0.0
1026,Meri Hilliard,104,584765,104,4313582,0.0,0.0
1035,Vernon Ramsey,416,584765,422,4313582,0.0,0.0
1043,Jeanie Baldwin,304,584765,304,4313582,0.0,0.0
1059,Margarito Davila,478,584765,497,4313582,0.0,0.0
1068,Lesli Bronson,106,584765,106,4313582,0.0,0.0
1807,Fredericka Nielson,1195,584765,1207,4313582,0.0,0.0
1153,Florentino Proctor,175,584765,175,4313582,0.0,0.0
1787,Franchesca Grubbs,2848,584765,3060,4313582,0.0,0.0
1392,Carolin German,2154,584765,2157,4313582,0.0,0.0
852,Jovan Hare,3161,584765,3174,4313582,0.0,0.0
1226,Crysta Greene,2375,584765,6140,4313582,0.0,0.0
835,Elfrieda Miranda,3520,584765,10166,4313582,0.0,0.0
822,Sheree Bennett,108,584765,108,4313582,0.0,0.0
2134,Irving Langston,7960,584765,35497,4313582,0.0,0.0
2130,Sina Donaldson,5297,584765,20065,4313582,0.0,0.0
341,Malcolm Crook,114552,584765,636055,4313582,0.0,0.0
322,Janey Anaya,715,584765,718,4313582,0.0,0.0
318,Pamela Brinkley,866,584765,1014,4313582,0.0,0.0
562,Pansy Sloan,1969,584765,2421,4313582,0.0,0.0
297,Lenita Beaulieu,160,584765,160,4313582,0.0,0.0
2059,Marilu Tucker,4964,584765,17491,4313582,0.0,0.0
2187,Kelly Cottrell,370,584765,370,4313582,0.0,0.0
1621,Keli Ewing,207,584765,207,4313582,0.0,0.0
280,Christi Busch,2726,584765,2732,4313582,0.0,0.0
2193,Nicki Lindsey,805,584765,852,4313582,0.0,0.0
2042,Gabriel Velasco,116,584765,116,4313582,0.0,0.0
2015,Evelyne Mcgrath,665,584765,770,4313582,0.0,0.0
1992,Nyla Lanier,964,584765,1421,4313582,0.0,0.0
749,Michal Sykes,602,584765,612,4313582,0.0,0.0
763,Ashton Hardin,11812,584765,49527,4313582,0.0,0.0
1971,Reina Fitzpatrick,609,584765,609,4313582,0.0,0.0
806,Mariel Palacios,1418,584765,3016,4313582,0.0,0.0
833,Lee Lombardo,110,584765,110,4313582,0.0,0.0
1368,Tessie Hankins,2058,584765,4954,4313582,0.0,0.0
1895,Ayesha Lind,430,584765,480,4313582,1.99067645616407e-310,8.2353419480005e-309
450,Verdell Bundy,1454,584765,3850,4313582,1.7509055276773166e-308,7.0893047216381566e-307
1494,Margarita Blanton,642,584765,992,4313582,4.497082896197238e-303,1.7829059898881966e-301
374,Tasha Busby,360,584765,372,4313582,3.789107028184001e-294,1.4715654438028884e-292
2077,Vanda Augustine,1898,584765,5907,4313582,1.1991492581007559e-293,4.563962076331477e-292
1231,Valentina Ham,1030,584765,2352,4313582,1.0028198944125057e-280,3.741894625621565e-279
452,Mi Stout,481,584765,652,4313582,8.538692892251233e-269,3.1248331872988645e-267
399,Sari Ziegler,306,584765,307,4313582,3.450130569109993e-267,1.2387921647200599e-265
2048,Melvina Hurst,787,584765,1556,4313582,1.3230131353378935e-266,4.662396289903725e-265
1222,Alfonso Carrier,299,584765,301,4313582,1.0709032565657768e-258,3.705325267717588e-257
862,Tamesha Hinton,296,584765,301,4313582,3.10218962219348e-250,1.0541905091132486e-248
1606,Delorse Leblanc,1270,584765,3520,4313582,3.3095064605949985e-248,1.1049106657039092e-246
659,Simona Beck,359,584765,420,4313582,1.9911235740709462e-243,6.532945105960363e-242
899,Danilo Lopez,2182,584765,7843,4313582,2.4840821988915385e-241,8.012217668628131e-240
1591,Aubrey Hopkins,760,584765,1619,4313582,4.3578831990921566e-231,1.3821752879787291e-229
183,Lisandra Allred,249,584765,250,4313582,1.037152520202629e-217,3.235575813025579e-216
673,Erlinda Good,442,584765,664,4313582,3.2195975541226516e-217,9.882087331444203e-216
1937,Candis Roach,303,584765,344,4313582,1.404364916192676e-214,4.242073707166131e-213
594,Rolando Hudson,499,584765,833,4313582,7.516334709569224e-214,2.234935148798474e-212
1947,Britta Tilley,528,584765,923,4313582,8.55007141467518e-213,2.503197831096441e-211
2296,Dallas Decker,446,584765,699,4313582,1.1426921852721583e-207,3.2947624675347234e-206
870,Cristen Castaneda,236,584765,237,4313582,1.9952996339514422e-206,5.667246572253126e-205
1057,Chester Thorpe,404,584765,598,4313582,1.4933392107683907e-202,4.179153703076834e-201
1733,Lucile Hanna,247,584765,256,4313582,7.253663447891849e-202,2.0005393538171285e-200
678,Kiera Flood,4864,584765,23624,4313582,2.3427292930505347e-195,6.368876920964526e-194
2186,Lore Stratton,251,584765,269,4313582,5.493038788445265e-194,1.4722891287903296e-192
136,Jarvis Craven,226,584765,229,4313582,1.8659964554878695e-193,4.931932298324188e-192
1630,Shauna Leslie,570,584765,1133,4313582,2.098225962303398e-192,5.469758912689543e-191
952,Stephanie Hay,234,584765,242,4313582,3.4800965669807465e-192,8.949491576978865e-191
80,Roselle Hendricks,231,584765,238,4313582,4.3339189842320005e-191,1.0996597102657995e-189
2037,Janeen Coronado,214,584765,215,4313582,2.4890917903947276e-187,6.2325548383173244e-186
118,Cherlyn Garland,823,584765,2147,4313582,2.144454456296719e-180,5.2998660134190346e-179
1823,Lemuel Bourgeois,345,584765,499,4313582,1.5903649104732085e-178,3.8800825956801483e-177
1267,Sherlene Beach,201,584765,203,4313582,8.404247200260015e-174,2.02446612937909e-172
2216,Galen Davenport,244,584765,277,4313582,1.8678749334692946e-173,4.443207497990084e-172
2139,Bradford Robinette,192,584765,193,4313582,3.102864736946484e-168,7.289816783221183e-167
1120,Walton Wilcox,204,584765,213,4313582,3.438552880360303e-165,7.979958696738605e-164
2232,Omar Hinson,182,584765,183,4313582,1.484341026710076e-159,3.403254185336475e-158
397,Fatima Beal,239,584765,288,4313582,6.728694178128678e-157,1.524369645354628e-155
611,Rueben Hoff,304,584765,444,4313582,9.422724661381492e-156,2.109581768306939e-154
528,Veta Flores,943,584765,2871,4313582,5.437218524493564e-154,1.2031426572222388e-152
897,Jackson Odom,239,584765,298,4313582,3.953915452624079e-150,8.648621961314509e-149
1039,Clelia Bronson,176,584765,182,4313582,1.828726146861537e-145,3.9546202925880744e-144
1460,Mika Banks,465,584765,1005,4313582,2.006677602901625e-139,4.290682559912126e-138
439,Sharan Maldonado,261,584765,370,4313582,3.069683013466119e-139,6.490674194028916e-138
851,Efren Kendrick,316,584765,520,4313582,4.837682447473169e-139,1.0116604063232353e-137
635,Omar Park,177,584765,190,4313582,1.852236699045482e-137,3.831311345960383e-136
2136,Maisie Castro,2444,584765,11005,4313582,6.626103470281635e-135,1.355857516553328e-133
172,Tyler Bruno,146,584765,147,4313582,2.6192501346861525e-128,5.302588304582711e-127
103,Pennie Sweeney,365,584765,713,4313582,2.812998855555377e-127,5.6235233131426247e-126
2053,Blanca Medley,368,584765,723,4313582,2.8368798636978034e-127,5.6235233131426247e-126
1959,Flo Nobles,180,584765,212,4313582,1.4389075797657433e-122,2.822928994117742e-121
2215,Kenya Soto,206,584765,269,4313582,1.8605666554766532e-122,3.612916678951093e-121
173,Patrica Siegel,368,584765,781,4313582,6.232545522738768e-114,1.1980337504820076e-112
1951,Celine Tilley,131,584765,133,4313582,3.151197722525009e-113,5.996729265965093e-112
737,Brenton Clement,133,584765,136,4313582,3.4580156055354126e-113,6.515449205281079e-112
1477,Camelia Luther,370,584765,809,4313582,1.4118738384533098e-109,2.6341136417418122e-108
1189,Jimmie Ratliff,173,584765,216,4313582,2.447511056016249e-109,4.521954892814488e-108
26,Deirdre Chen,135,584765,142,4313582,3.9717571901585293e-109,7.267551858530463e-108
525,Leif Ruth,378,584765,845,4313582,3.3502469329681735e-108,6.071923727084222e-107
925,Katharine Avila,140,584765,154,4313582,1.687214537549855e-105,3.029027608450353e-104
1289,Nikia Medrano,451,584765,1163,4313582,4.7728035677107716e-102,8.488453447994017e-101
2075,Hope Lipscomb,377,584765,890,4313582,3.831918130431756e-99,6.751981668714473e-98
2153,Jerlene Connolly,112,584765,114,4313582,8.363298342839394e-97,1.4601244721489327e-95
1925,Laree Lujan,2133,584765,10151,4313582,1.0346272190235089e-94,1.7899050889106704e-93
1626,Jarrod Mcmanus,492,584765,1395,4313582,1.113704496168722e-93,1.9093510416298e-92
597,Clifford Mahoney,106,584765,107,4313582,1.3667635966155143e-93,2.322277789606539e-92
591,Mahalia Andrade,5289,584765,29818,4313582,1.5209991978249004e-92,2.5614703304962705e-91
1396,Carin Bassett,714,584765,2429,4313582,5.158396381527962e-92,8.610902029866414e-91
1338,Thresa Quiroz,104,584765,105,4313582,7.439474412041985e-92,1.2310712874883388e-90
1596,Jacob Gallegos,102,584765,103,4313582,4.04938004342673e-90,6.64307777813885e-89
1049,Kaye Mccarthy,104,584765,106,4313582,6.827058746220115e-90,1.1104181875262289e-88
1923,Agripina Slade,173,584765,253,4313582,9.388377813299233e-90,1.514074828704105e-88
403,Lyndia Delgado,289,584765,616,4313582,1.76650957360168e-89,2.824930855936132e-88
1589,Annetta Hightower,528,584765,1600,4313582,3.749544452663846e-88,5.946152577849416e-87
1236,Dot Moreno,107,584765,112,4313582,6.462414284377088e-88,1.0163615192702149e-86
213,Lakeesha Fletcher,712,584765,2486,4313582,2.8123302902168293e-86,4.386774214985759e-85
2100,Bernetta Tinsley,287,584765,629,4313582,2.724664467890635e-85,4.215476814955999e-84
2104,Vella Hayward,405,584765,1093,4313582,7.062130727510048e-85,1.083809256004163e-83
1139,Suanne Moran,370,584765,957,4313582,9.514575184569086e-84,1.4484989260987975e-82
288,Tu Akers,462,584765,1367,4313582,3.365994166199374e-81,5.083719760537626e-80
145,Foster Rockwell,320,584765,779,4313582,1.7269831848537057e-80,2.587755118721734e-79
2101,Zora Dunn,481,584765,1479,4313582,3.5609376187763405e-78,5.2941127254151374e-77
2067,Celia Tang,463,584765,1411,4313582,1.0104726355590518e-76,1.4906429654797484e-75
248,Shawn Tillman,122,584765,155,4313582,2.619418064876918e-76,3.8344250595852114e-75
1468,Briana Lugo,923,584765,3766,4313582,9.354402101096902e-73,1.358887572395985e-71
902,Felicitas Barnard,242,584765,530,4313582,2.0985898997169713e-72,3.0254671054253005e-71
2097,Shawnda Sisk,346,584765,952,4313582,2.137557814927973e-70,3.058475580306716e-69
1686,Berneice Heck,125,584765,177,4313582,2.6658541939354347e-68,3.7859108440739796e-67
459,Susanna Henley,307,584765,818,4313582,2.01377932319864e-66,2.838683001516305e-65
618,Phyllis Mccracken,1421,584765,6716,4313582,1.1357081282738293e-65,1.5891563000772773e-64
1659,Loretta Lujan,104,584765,132,4313582,1.4416192087625844e-65,2.0024827403468598e-64
1235,Joni Klein,146,584765,241,4313582,1.7199758051977702e-65,2.3718217081821423e-64
905,Gina Isaacs,251,584765,603,4313582,4.791279047282436e-65,6.559571242430559e-64
988,Pearlene Kraft,140,584765,227,4313582,2.3821475891844355e-64,3.238019187298558e-63
573,Ileana Newcomb,487,584765,1693,4313582,2.190781664450737e-60,2.9567783740778386e-59
1146,Lurlene Priest,1304,584765,6184,4313582,1.326867629341742e-59,1.7781895060826305e-58
1848,Olevia Jaramillo,269,584765,711,4313582,2.4838787902876935e-59,3.305469467075161e-58
1356,Dannielle Gates,361,584765,1116,4313582,1.2405702687785228e-58,1.6394480704760615e-57
223,Kylie Shafer,2517,584765,13636,4313582,4.029167164579689e-58,5.287934561513896e-57
437,Randolph Walton,321,584765,946,4313582,1.309960324678491e-57,1.7074345875775125e-56
793,Tanya Zuniga,372,584765,1196,4313582,1.3370520593351494e-55,1.7308912033433942e-54
948,Marybeth Albert,287,584765,817,4313582,2.8835481659956652e-55,3.707697405330913e-54
715,Jannette Gross,227,584765,569,4313582,3.7455139393582434e-55,4.783700017851501e-54
1448,Deshawn Creech,260,584765,705,4313582,6.395894204332037e-55,8.114257780562577e-54
1291,Jessi Sorenson,843,584765,3656,4313582,9.350830990728623e-55,1.1784524089640112e-53
180,Dimple Mcwilliams,91,584765,121,4313582,1.616636465391869e-54,2.0239863116057414e-53
1629,Rivka Tipton,246,584765,668,4313582,5.80743541075477e-52,7.223235023964919e-51
298,Ruby Brannon,172,584765,379,4313582,9.77357190924114e-52,1.2077342430705122e-50
1221,Otis Scales,505,584765,1902,4313582,3.7695421515760053e-51,4.62802497706396e-50
1374,Gema Brantley,87,584765,120,4313582,5.806866488436807e-50,7.083632645830284e-49
1634,Gary Sanchez,109,584765,179,4313582,6.685207419466023e-50,8.10315268741646e-49
1261,Deandre Fleming,516,584765,1986,4313582,2.9785653428654482e-49,3.587474587008195e-48
1497,Natalia Paxton,210,584765,546,4313582,3.477653012762504e-48,4.162247599551601e-47
1168,Tyisha Ross,528,584765,2076,4313582,1.9313065407059718e-47,2.2970477168521654e-46
1750,Carrol Frazier,205,584765,531,4313582,2.1442440650483733e-47,2.5344698483149404e-46
570,Meg Lankford,262,584765,782,4313582,2.5966337230277923e-46,3.0502431943962276e-45
387,Carley Maynard,309,584765,997,4313582,3.1237153739796404e-46,3.6468897893762306e-45
909,Dolly Bragg,3345,584765,19572,4313582,6.320449120771758e-45,7.334033339529669e-44
2225,Graig Cody,536,584765,2163,4313582,1.2254478503420617e-44,1.4133498540611778e-43
2286,Lindsay Bentley,1483,584765,7708,4313582,4.1570881457751143e-44,4.765625747837375e-43
2071,Morris Stovall,2605,584765,14807,4313582,5.813617810524485e-44,6.624739337382093e-43
472,Deonna Case,111,584765,209,4313582,1.4012904281406204e-42,1.5872950504473812e-41
888,Benton Womack,167,584765,413,4313582,3.954037100449959e-42,4.4523861551220543e-41
479,Ramona Paul,400,584765,1502,4313582,2.5995370838399037e-41,2.90995239443961e-40
1654,Delmar Bentley,369,584765,1352,4313582,9.130433184030358e-41,1.0160944063865363e-39
256,Tesha Mendez,164,584765,414,4313582,4.603739539368775e-40,5.093556013615569e-39
882,Kristina Reeves,175,584765,459,4313582,5.770353151622127e-40,6.347388466784339e-39
2299,Delia Shockley,3244,584765,19187,4313582,5.9308714690131966e-40,6.486464600880525e-39
443,Samantha Melvin,266,584765,860,4313582,5.978945672367356e-40,6.501676351151473e-39
1864,Jodi Lawler,83,584765,134,4313582,1.8740371802063865e-39,2.0263027010981554e-38
1134,Kathrin Nicholas,622,584765,2730,4313582,2.3834579076866174e-39,2.5625538973602444e-38
2116,Jazmin Rosen,109,584765,215,4313582,2.460218669669974e-39,2.6302225440348093e-38
2300,Chanda Hearn,262,584765,850,4313582,4.270474917714379e-39,4.540063557771208e-38
1320,Rocio Escobedo,3375,584765,20109,4313582,5.5540253848042666e-39,5.8718390596014e-38
1928,Zulema Montano,93,584765,167,4313582,2.2224511254494112e-38,2.3366433655968116e-37
1811,Evangelina Messer,227,584765,703,4313582,1.3104667355566505e-37,1.3702297789913768e-36
1552,Rory Kendall,93,584765,170,4313582,1.6520861684783591e-37,1.717989059352086e-36
1967,Cari Strickland,222,584765,683,4313582,2.553734727792131e-37,2.64117238423284e-36
1712,Lynne Dudley,139,584765,336,4313582,9.05205020021496e-37,9.311379205950847e-36
357,Kyla Edwards,569,584765,2502,4313582,5.937865032922474e-36,6.075138256801864e-35
503,Shanae Calloway,169,584765,465,4313582,1.2829899886525937e-35,1.3056309884523453e-34
1905,Frederica Burrell,838,584765,4068,4313582,1.8918100257053918e-35,1.914954510062426e-34
1912,Kaye Dempsey,350,584765,1330,4313582,2.615629895697757e-35,2.63362100080044e-34
87,Akiko Hamilton,542,584765,2372,4313582,6.580446949887698e-35,6.590837129282258e-34
42,Georgianna Echols,541,584765,2368,4313582,7.896989569549788e-35,7.868047722959815e-34
1519,Mandi Browning,479,584765,2029,4313582,1.3274814357430202e-34,1.3157276938640455e-33
2251,Kiyoko Mckinnon,328,584765,1229,4313582,1.8127102582089448e-34,1.7873510991562805e-33
1155,Emelda Layton,106,584765,227,4313582,3.340831620387985e-34,3.277114728658936e-33
408,Ozella Mcmullen,277,584765,982,4313582,9.410347357107593e-34,9.183533856705512e-33
1867,Dirk Grady,851,584765,4193,4313582,1.0336982544806462e-33,1.0036366215697295e-32
1333,Felipa Wheeler,410,584765,1680,4313582,3.8781084929349036e-33,3.74621343251529e-32
946,Keith Lancaster,759,584765,3663,4313582,4.089879410925606e-33,3.9308285449451657e-32
1863,Huey Staples,352,584765,1377,4313582,7.98631967208337e-33,7.637169013052588e-32
11,Dominga Darling,176,584765,525,4313582,6.527315977140423e-32,6.210741152249113e-31
2050,Parthenia Drake,157,584765,443,4313582,8.345969860271744e-32,7.901681912486135e-31
133,Toya Compton,152,584765,423,4313582,1.23787222682038e-31,1.1661736869500907e-30
326,Lucila Knox,344,584765,1354,4313582,1.3797104825075313e-31,1.2933936198087842e-30
636,Maragaret Cuellar,422,584765,1774,4313582,1.742602183342883e-31,1.6255744876968168e-30
996,Gerry Trent,936,584765,4793,4313582,8.35554946958937e-31,7.756395434452961e-30
1417,Kesha Corbin,127,584765,326,4313582,1.0118292846857418e-30,9.347141401732847e-30
27,Zana Albright,111,584765,265,4313582,2.023131968697653e-30,1.8599131093872628e-29
1121,Orval Romano,294,584765,1121,4313582,9.567667678565908e-30,8.75349595784179e-29
1257,Alfonso Caudill,222,584765,762,4313582,1.3146256034243625e-29,1.1970012073284984e-28
1091,Lyndon Dalton,124,584765,323,4313582,2.4425649927779885e-29,2.2134291339316725e-28
99,Lucius Sousa,174,584765,540,4313582,3.065399011694139e-29,2.7646702934852824e-28
1557,Keiko Meyer,100,584765,232,4313582,7.417188848748739e-29,6.657976593947572e-28
1535,Jasper Varner,185,584765,598,4313582,1.7306282137004702e-28,1.5461903712075093e-27
736,Mariam Horton,152,584765,454,4313582,8.38927690316548e-28,7.460184087254163e-27
163,Alia Head,109,584765,275,4313582,1.898034983542268e-27,1.6799816621771797e-26
1041,Willene Mathews,373,584765,1580,4313582,2.0244172062068828e-27,1.783549047875786e-26
261,Lawerence Carrasco,157,584765,483,4313582,4.6139255021975425e-27,4.0462213044617156e-26
1469,Tiffaney Chavis,162,584765,507,4313582,6.297626776301019e-27,5.497423740963688e-26
790,Taylor Moreno,371,584765,1581,4313582,8.979437684024151e-27,7.802680325432859e-26
497,Daniele Tyson,146,584765,437,4313582,1.0921216164341746e-26,9.446851982155611e-26
76,Kenneth Collins,89,584765,206,4313582,4.946306497263855e-26,4.259195142214079e-25
648,Aaron High,412,584765,1830,4313582,1.0046220517003677e-25,8.611692632368468e-25
35,Bibi Reed,91,584765,217,4313582,2.0758211812774424e-25,1.7714294654578353e-24
269,Madge Charles,431,584765,1948,4313582,3.1107767961224987e-25,2.6427715370629977e-24
1202,Monet Reagan,203,584765,721,4313582,3.243497977810001e-25,2.7432785118988587e-24
607,Fleta Michaud,85,584765,197,4313582,6.403365113426422e-25,5.391860093296673e-24
1009,Blythe Leslie,90,584765,217,4313582,9.714610332604551e-25,8.144010336099762e-24
1042,Janna Bartley,67,584765,134,4313582,1.1179687296415348e-24,9.331116195209827e-24
1721,Alysa Briggs,87,584765,208,4313582,2.6677686553587128e-24,2.2169274022478734e-23
1792,Kelvin Swanson,314,584765,1316,4313582,3.41067383178087e-24,2.8097455852290025e-23
1445,Rob Mathis,75,584765,164,4313582,3.408456832485825e-24,2.8097455852290025e-23
106,Cathie Knutson,67,584765,137,4313582,5.8246637965612875e-24,4.777730691748332e-23
303,Vonda Colbert,95,584765,244,4313582,1.523458909591028e-23,1.244267083670269e-22
2206,Colin Kerns,199,584765,730,4313582,6.255760723600202e-23,5.0874840414577715e-22
1282,Ivette Pelletier,1037,584765,5707,4313582,6.3808064918642e-23,5.167095640007478e-22
2081,Vannessa Holman,2615,584765,16086,4313582,6.951170562012264e-23,5.60511761843616e-22
398,Lita Grimm,74,584765,167,4313582,7.373205825438515e-23,5.920342061522993e-22
246,Lurline Leon,143,584765,460,4313582,9.553386709006569e-23,7.63869533917626e-22
914,Colene Echols,228,584765,887,4313582,2.4096431104471164e-22,1.9186405184857163e-21
1752,Stanton Dooley,241,584765,959,4313582,4.2113788442006633e-22,3.3392724752141095e-21
1429,Nidia Lackey,121,584765,366,4313582,4.606631374579582e-22,3.6375184671472805e-21
956,Dino Tang,54,584765,102,4313582,6.623819334144065e-22,5.208730658213288e-21
2238,Rosaria Reynolds,103,584765,289,4313582,7.350701381071269e-22,5.756536925176389e-21
1771,Vicente Corbett,182,584765,659,4313582,8.017228392163025e-22,6.252780996018949e-21
2213,Noella Dent,189,584765,696,4313582,1.1094244359779984e-21,8.617284496596452e-21
1839,Karena Mckinley,334,584765,1475,4313582,1.1599079775929295e-21,8.972784070566443e-21
656,Donnette Harris,508,584765,2492,4313582,2.4016371767841395e-21,1.8503301811417883e-20
2088,Janell Riddick,71,584765,165,4313582,4.0706943944217435e-21,3.1236013841066846e-20
958,Suanne Wang,247,584765,1007,4313582,4.121892468203226e-21,3.150185287948088e-20
1890,Migdalia Messer,104,584765,307,4313582,3.7404849928823917e-20,2.8472571765820763e-19
220,Madalyn Ross,150,584765,522,4313582,4.294897428845693e-20,3.2562509191606985e-19
1313,Rosalie Talley,798,584765,4313,4313582,4.591199126532055e-20,3.4670841022978183e-19
340,Yung Bean,1367,584765,7972,4313582,5.3397317826538444e-20,4.01640694956137e-19
202,Chere Swenson,579,584765,2967,4313582,9.282946049848739e-20,6.954900131048091e-19
